persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,148.7,159,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
carl_jung,deep,pro,claude-sonnet-4-6,3,49.3,57,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,0.3333
carl_jung,standard,free,claude-haiku-4-5-20251001,7,111.3,167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.1429,0.1429,0.4286
carl_jung,standard,pro,claude-sonnet-4-6,7,45.1,54,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.2857
epictetus,deep,free,claude-haiku-4-5-20251001,3,151.0,174,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
epictetus,deep,pro,claude-sonnet-4-6,3,41.7,47,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
epictetus,standard,free,claude-haiku-4-5-20251001,7,119.0,173,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.0,0.8571
epictetus,standard,pro,claude-sonnet-4-6,7,38.0,52,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.4286,0.1429,0.4286
george_orwell,deep,free,claude-haiku-4-5-20251001,3,157.0,199,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.6667,1.0
george_orwell,deep,pro,claude-sonnet-4-6,3,71.7,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
george_orwell,standard,free,claude-haiku-4-5-20251001,7,125.3,172,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.1429,0.5714
george_orwell,standard,pro,claude-sonnet-4-6,7,67.4,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.0,0.1429
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,124.7,161,1.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0,0.6667,0.3333,0.0,0.6667
lao_tzu,deep,pro,claude-sonnet-4-6,3,34.0,39,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333,0.0,0.3333
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,85.1,114,1.0,0.8571,0.1429,0.0,0.0,0.0,0.1429,0,0.5714,0.1429,0.0,0.5714
lao_tzu,standard,pro,claude-sonnet-4-6,7,29.7,40,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.5714,0.0,0.4286
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,100.0,137,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
marcus_aurelius,deep,pro,claude-sonnet-4-6,3,50.3,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,0.6667
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,84.9,109,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.5714
marcus_aurelius,standard,pro,claude-sonnet-4-6,7,44.1,57,0.5714,0.2857,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.0,0.2857
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,111.0,171,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.6667
miyamoto_musashi,deep,pro,claude-sonnet-4-6,3,64.7,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.0
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,106.4,142,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.1429,0.0,0.2857
miyamoto_musashi,standard,pro,claude-sonnet-4-6,7,52.7,70,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.2857,0.0,0.4286
niccolo_machiavelli,deep,free,claude-haiku-4-5-20251001,3,185.0,233,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,1.0
niccolo_machiavelli,deep,pro,claude-sonnet-4-6,3,57.7,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
niccolo_machiavelli,standard,free,claude-haiku-4-5-20251001,7,127.4,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.0,0.0,0.1429
niccolo_machiavelli,standard,pro,claude-sonnet-4-6,7,50.3,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.0,0.7143
oscar_wilde,deep,free,claude-haiku-4-5-20251001,3,138.3,189,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
oscar_wilde,deep,pro,claude-sonnet-4-6,3,41.3,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
oscar_wilde,standard,free,claude-haiku-4-5-20251001,7,92.7,155,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.0,0.2857
oscar_wilde,standard,pro,claude-sonnet-4-6,7,40.0,60,0.2857,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.4286,0.0,0.2857
sigmund_freud,deep,free,claude-haiku-4-5-20251001,3,90.0,106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
sigmund_freud,deep,pro,claude-sonnet-4-6,3,43.0,46,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.3333,0.3333
sigmund_freud,standard,free,claude-haiku-4-5-20251001,7,72.3,115,0.8571,0.5714,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
sigmund_freud,standard,pro,claude-sonnet-4-6,7,42.6,59,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.7143
simone_de_beauvoir,deep,free,claude-haiku-4-5-20251001,3,177.7,212,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.3333,1.0
simone_de_beauvoir,deep,pro,claude-sonnet-4-6,3,60.0,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.3333
simone_de_beauvoir,standard,free,claude-haiku-4-5-20251001,7,128.3,208,1.0,0.8571,0.0,0.0,0.1429,0.0,0.0,0,1.0,0.0,0.1429,0.4286
simone_de_beauvoir,standard,pro,claude-sonnet-4-6,7,53.0,59,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.1429,0.5714
socrates,deep,free,claude-haiku-4-5-20251001,3,69.3,82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.3333
socrates,deep,pro,claude-sonnet-4-6,3,43.3,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
socrates,standard,free,claude-haiku-4-5-20251001,7,45.6,63,0.8571,0.2857,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.1429
socrates,standard,pro,claude-sonnet-4-6,7,37.0,55,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.2857,0.2857
