persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,143.7,153,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.6667
carl_jung,deep,pro,claude-sonnet-4-6,3,66.0,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
carl_jung,standard,free,claude-haiku-4-5-20251001,7,89.7,103,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.0,0.1429,0.4286
carl_jung,standard,pro,claude-sonnet-4-6,7,68.6,81,1.0,0.8571,0.0,0.1429,0.0,0.0,0.1429,0,0.8571,0.0,0.2857,0.4286
epictetus,deep,free,claude-haiku-4-5-20251001,3,128.7,150,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
epictetus,deep,pro,claude-sonnet-4-6,3,56.7,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,0.6667
epictetus,standard,free,claude-haiku-4-5-20251001,7,78.1,106,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.1429,0.5714
epictetus,standard,pro,claude-sonnet-4-6,7,63.9,69,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.2857,0.5714
george_orwell,deep,free,claude-haiku-4-5-20251001,3,193.7,209,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
george_orwell,deep,pro,claude-sonnet-4-6,3,78.7,84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
george_orwell,standard,free,claude-haiku-4-5-20251001,7,111.9,125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.5714
george_orwell,standard,pro,claude-sonnet-4-6,7,84.9,98,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.5714
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,134.7,209,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.3333,1.0
lao_tzu,deep,pro,claude-sonnet-4-6,3,42.7,62,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,0.0
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,75.7,98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.1429,0.5714
lao_tzu,standard,pro,claude-sonnet-4-6,7,51.7,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.2857
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,118.7,164,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
marcus_aurelius,deep,pro,claude-sonnet-4-6,3,80.0,116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.3333
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,81.7,105,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.1429,0.7143
marcus_aurelius,standard,pro,claude-sonnet-4-6,7,55.6,74,0.8571,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.5714
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,168.7,198,1.0,0.6667,0.3333,0.0,0.0,0.0,0.3333,0,0.6667,0.0,0.0,0.6667
miyamoto_musashi,deep,pro,claude-sonnet-4-6,3,93.7,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.3333
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,88.7,112,1.0,0.7143,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.1429,0.5714
