persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,145.0,192,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.6667,0.0,1.0
carl_jung,deep,pro,claude-sonnet-4-6,3,92.3,139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
carl_jung,standard,free,claude-haiku-4-5-20251001,7,112.3,147,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.5714,0.0,0.5714
carl_jung,standard,pro,claude-sonnet-4-6,7,63.0,70,1.0,0.5714,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.2857,0.2857,0.7143
epictetus,deep,free,claude-haiku-4-5-20251001,3,143.0,181,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
epictetus,deep,pro,claude-sonnet-4-6,3,75.0,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,0.0
epictetus,standard,free,claude-haiku-4-5-20251001,7,102.3,119,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.0,0.1429,0.7143
epictetus,standard,pro,claude-sonnet-4-6,7,56.9,64,1.0,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.1429,0.8571,0.1429,0.5714
george_orwell,deep,free,claude-haiku-4-5-20251001,3,170.7,201,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
george_orwell,deep,pro,claude-sonnet-4-6,3,83.0,116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.0,0.6667
george_orwell,standard,free,claude-haiku-4-5-20251001,7,146.3,177,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.2857,0.0,0.8571
george_orwell,standard,pro,claude-sonnet-4-6,7,77.4,85,1.0,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.2857,0.5714,0.0,0.7143
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,136.7,168,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.3333,1.0
