persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,deep,free,claude-haiku-4-5-20251001,3,178.0,192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.6667,1.0
carl_jung,standard,free,claude-haiku-4-5-20251001,7,93.7,109,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.4286
epictetus,deep,free,claude-haiku-4-5-20251001,3,156.0,189,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
epictetus,standard,free,claude-haiku-4-5-20251001,7,95.0,119,0.8571,0.8571,0.0,0.0,0.0,0.1429,0.0,0,1.0,0.0,0.1429,1.0
george_orwell,deep,free,claude-haiku-4-5-20251001,3,209.0,212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.0,0.3333,1.0
george_orwell,standard,free,claude-haiku-4-5-20251001,7,131.1,153,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.7143
lao_tzu,deep,free,claude-haiku-4-5-20251001,3,154.7,189,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.6667
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,78.4,92,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.1429,0.5714
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,157.7,205,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,85.6,96,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.8571
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,166.7,183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.3333,0.0,0.6667
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,96.1,143,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.7143
niccolo_machiavelli,deep,free,claude-haiku-4-5-20251001,3,179.7,194,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.3333,1.0
niccolo_machiavelli,standard,free,claude-haiku-4-5-20251001,7,100.7,118,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.2857
oscar_wilde,deep,free,claude-haiku-4-5-20251001,3,172.0,182,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,1.0
oscar_wilde,standard,free,claude-haiku-4-5-20251001,7,77.9,85,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.4286
sigmund_freud,deep,free,claude-haiku-4-5-20251001,3,136.7,190,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
sigmund_freud,standard,free,claude-haiku-4-5-20251001,7,91.9,109,0.7143,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.2857,0.7143
simone_de_beauvoir,deep,free,claude-haiku-4-5-20251001,3,195.3,203,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,1.0
simone_de_beauvoir,standard,free,claude-haiku-4-5-20251001,7,103.7,132,0.5714,0.5714,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.2857
socrates,deep,free,claude-haiku-4-5-20251001,3,113.7,166,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.6667,0.6667
socrates,standard,free,claude-haiku-4-5-20251001,7,78.6,93,0.5714,0.5714,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.2857,0.4286
