persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
carl_jung,standard,pro,claude-sonnet-4-6,7,81.6,93,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.5714
epictetus,standard,pro,claude-sonnet-4-6,7,74.7,86,0.2857,0.2857,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.4286,0.1429,0.2857
george_orwell,standard,pro,claude-sonnet-4-6,7,98.7,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.4286
lao_tzu,standard,pro,claude-sonnet-4-6,7,61.9,75,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.0
marcus_aurelius,standard,pro,claude-sonnet-4-6,7,84.7,113,0.5714,0.5714,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.4286,0.2857,0.4286
miyamoto_musashi,standard,pro,claude-sonnet-4-6,7,72.9,84,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.4286
niccolo_machiavelli,standard,pro,claude-sonnet-4-6,7,83.0,91,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.1429,0.2857
oscar_wilde,standard,pro,claude-sonnet-4-6,7,81.3,109,0.4286,0.4286,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.1429,0.1429
sigmund_freud,standard,pro,claude-sonnet-4-6,7,82.4,94,0.2857,0.2857,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.1429,0.1429
simone_de_beauvoir,standard,pro,claude-sonnet-4-6,7,84.1,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.0,0.2857
socrates,standard,pro,claude-sonnet-4-6,7,66.1,91,0.1429,0.1429,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.1429,0.2857
